unmapped_index,technology_name,linked_entity_id,tech_id,process_id,geographic_scope,temporal_scope,capacity_scope,system_boundary,source_ids,date_mapped
98,Wood_Pyrolysis_Biochar,LE_00099,TECH_00055,PROC_00037,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00024"", ""SRC_00025""]",2026-06-25
99,ElBdg_Battery_ElBdg,LE_00100,TECH_00056,PROC_00040,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00026"", ""SRC_00027""]",2026-06-25
100,ElBdg_Battery_ElBdg,LE_00101,TECH_00056,PROC_00040,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00028"", ""SRC_00027""]",2026-06-25
101,ElBdg_Battery_ElBdg,LE_00102,TECH_00056,PROC_00040,GEO_ECA,TIME_2040,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00028"", ""SRC_00027""]",2026-06-25
102,ElBdg_Battery_ElBdg,LE_00103,TECH_00056,PROC_00040,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00028"", ""SRC_00027""]",2026-06-25
103,El_Battery_El,LE_00104,TECH_00057,PROC_00041,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006"", ""SRC_00027""]",2026-06-25
104,El_Battery_El,LE_00105,TECH_00057,PROC_00041,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006"", ""SRC_00027""]",2026-06-25
105,El_Battery_El,LE_00106,TECH_00057,PROC_00041,GEO_ECA,TIME_2040,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006"", ""SRC_00027""]",2026-06-25
106,El_Battery_El,LE_00107,TECH_00057,PROC_00041,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006"", ""SRC_00027""]",2026-06-25
107,Hydro_PumpedReservoir_Hydro,LE_00108,TECH_00058,PROC_00006,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006""]",2026-06-25
108,Hydro_Reservoir_Hydro,LE_00109,TECH_00059,PROC_00042,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006""]",2026-06-25
109,Th_HeatStore_Th,LE_00110,TECH_00060,PROC_00043,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,[],2026-06-25
110,Th_HotWaterTank_Th,LE_00111,TECH_00061,PROC_00044,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006""]",2026-06-25
111,Th_SeasonalStore_Th,LE_00112,TECH_00062,PROC_00045,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006""]",2026-06-25
112,H2_Tank_H2,LE_00113,TECH_00063,PROC_00046,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006""]",2026-06-25
113,CH4_GridStorage_CH4,LE_00114,TECH_00064,PROC_00047,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006"", ""SRC_00029"", ""SRC_00030"", ""SRC_00031""]",2026-06-25
114,CH4_Tank_CH4,LE_00115,TECH_00065,PROC_00048,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006"", ""SRC_00029"", ""SRC_00030"", ""SRC_00031""]",2026-06-25
115,CH4_Underground_CH4,LE_00116,TECH_00066,PROC_00049,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006"", ""SRC_00029"", ""SRC_00030"", ""SRC_00031""]",2026-06-25
116,CO2_Tank_CO2,LE_00117,TECH_00067,PROC_00050,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,[],2026-06-25
117,CO_Tank_CO,LE_00118,TECH_00067,PROC_00050,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,[],2026-06-25
118,C12_Tank_C12,LE_00119,TECH_00068,PROC_00051,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,[],2026-06-25
119,C8_Tank_C8,LE_00120,TECH_00069,PROC_00052,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,[],2026-06-25
